sentiment,headline
positive,"EUR 14.0 mn was the operating profit, which rose to EUR 4.9 mn from EUR 4.9 mn in the same period in 2005."
negative,"According to Stora Enso Oyj, the company's second-quarter results will be reduced by half compared to the same period in 2007."
neutral,"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday ."
positive,"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks ."
neutral,"Global Markets Direct 's Pohjola Bank plc - Financial Analysis Review is an in-depth business , financial analysis of Pohjola Bank plc. ."
positive,"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt ."
negative,Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .
neutral,"Mr. Mika Korpinen , APAC Vice President for Comptel concludes : `` Comptel is once again demonstrating the importance of providing reliable delivery and enabling time-to-market ."
neutral,Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .
positive,"EUR 15.86 mn was the company's consolidated operating profit, which rose to EUR 4.14 mn in the previous year."
negative,A 3.4 per cent decrease in traffic was observed in the Asian region.
negative,The company had initially predicted that it would eliminate as many as 30 jobs.
positive,Finnish food industry companies HK Ruokatalo and Atria will form a joint venture company called L+Ænsi-Kalkkuna to produce turkey meat .
neutral,"France T+_l+_com spent more time studying TeliaSonera than other potential takeover targets because it has a shareholder that wants to sell , Pellissier said ."
positive,Cision says the sale will return its U.K. operation to profitability .
neutral,The serial bond is part of the plan to refinance the short-term credit facility .
negative,"From January to August 2009, there was a 27.7 % decrease in container, lorry, and trailer imports and a 28.6 % decrease in exports compared to the same period in 2008."
neutral,At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .
positive,Metso foresees a 10% surge in net sales in 2008 at similar exchange rates.
negative,"In 2007, Aldata Solution Oyj, a retail software developer from Finland, reported a net loss of 11.7 million euros or 17.2 million euros, compared to a net profit of 2.5 million euros or 3.7 million in 2006."
negative,"Net sales in the fourth quarter of 2008 were EUR 121.4 mn, which was a decline from the EUR 165.5 mn in the previous quarter."
negative,"Uponor, the Finnish supplier of plumbing and heating systems, has announced that it will be laying off its entire workforce in Finland for a two-week period starting in mid-July 2009."
positive,Net profit was 35.5 mln compared with 29.8 mln .
positive,"The services provide the supplier with the option to enter invoices, receive orders electronically, send order confirmations, and create electronic catalogues."
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .
positive,"Huhtamaki Oyj, a Finnish consumer packaging firm, achieved a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006, up from a net loss of 2.6 mln euro $ 3.3 ml"
positive,"Suominen Corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of Wet Wipes , will make the company 's operations more profitable ."
neutral,"It 's `` finger-friendly '' , and to my opinion , really fast ."
negative,"The move by UPM will lead to a decrease in net profit by x20ac 385 million US$ 520 million in the second quarter, primarily due to impairment charges, according to the company."
negative,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 ."
neutral,"`` Thanks to my Nokia and Lulu , I am now proud to be a published His novel can be found here ."
neutral,Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .
negative,"The pretax profit in theconsolidated period decreased by 69.2% to EUR 41.0 mn, which was 69.2% less than the EUR 133.1 mn recorded in 2007."
neutral,Sponda plans to renovate old real estate and develop new property .
positive,"The Finnish Componenta Group's subsidiary, originally known as Componenta +_m+_l, has been rebranded as +_m+_l Components, resulting in a 63 % increase in Q1 2010 compared to Q1 2009."
negative,"Kyro's primary business, Glaston Technologies, a maker of glass processing machines, experienced a decline in net sales from EUR 164.1 mn to EUR 161.5 mn in the period from January to September 2005."
negative,"According to Vaisala Oyj HEL, a Finnish measuring equipment manufacturer, its net loss increased from EUR2 .3 m in the previous year to EUR4 .8 m in the first half of 2010, as reported by VAIAS on August 11, 2010."
negative,Finnish M-real 's Kyro mill is starting negotiations to cut staff .
positive,"According to Tallink, the doors of Vana Tallinn and Regina Baltica, as well as their electrical systems, are both water-resistant and fully functional."
negative,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and halt production .
negative,"The North Sea's oil production is facing challenges due to scale formation, which could result in the clogging of pipelines and halt production."
neutral,It has80 branches in Finland with annual revenue in Finland of ?
negative,"EUR 23.3 mn less than the corresponding period in 2009 in terms of net cash flow from operating activities, which amounted to EUR 3.1 mn less."
neutral,"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors ."
negative,The company expects its net sales for the whole 2009 to remain below the 2008 level .
positive,"Luxembourg-registered investment fund Amber Trust II has won the final approval of Lithuania 's Competition Council to acquire 29.6 percent of Sanitas , the country 's largest pharmaceutical producer ."
positive,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .
neutral,"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell ."
negative,The Sievi units have announced the firing of 17 salaried and group administration employees.
neutral,"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries ."
neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 ."
positive,The newly created position has been established to strengthen Amer Sports ' management in strategic planning and execution .
neutral,"The natural source of isoprene is the tree species Hevea brasiliensis , also known as the rubber tree ."
neutral,"It grew in Finland , Norway , Denmark and the Baltic countries ."
negative,"In comparison to Q2 2009, the profit margin on EBIT was 13.6 %, while it was 14.3 % in the latter half of the year."
neutral,No decision on such sale of the now issued or existing treasury shares to YA Global has been made yet .
positive,"`` Nokia 's Calling All Innovators Africa competition has been specifically launched to enable developers to create locally relevant , best-of-breed mobile applications . ''"
negative,"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % ."
negative,"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source ."
neutral,You 're not alone .
positive,The group plans to reduce fixed costs by reducing the number of plants.
positive,"Affecto Oyj, a Finnish IT solutions provider, has been awarded a frame contract worth approximately EUR2m for the implementation of the next phase of its insurance application for M&F."
neutral,A CUT ABOVE Bring the outdoors in with these birch-branch coasters .
positive,"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares ."
positive,"The company , which celebrates its fiftieth anniversary next year , has been exporting distinctive detached homes to Central Europe for several decades ."
neutral,"The study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis ."
negative,"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations ."
positive,"Suominen Corporation anticipates that its operations will become more profitable due to a cost-cutting initiative, higher sales prices, and projected Wet Wipes volume growth."
neutral,"The divested company is part of TietoEnator 's business area Government , Manufacturing & Retail ."
negative,He stated that the normalization of deals has led us to devalue the apartments that are currently available for purchase.
neutral,We have made long-term investments in developing the system 's implementation model .
negative,"In the first half of 2008 , the Bank 's operating profit fell to EUR 11.8 mn from EUR 18.9 mn , while net interest income increased to EUR 20.9 mn from EUR 18.8 mn in the first half of 2007 ."
positive,Rose Poultry A-S was acquired by the Finnish group in September 2010 for a maximum of EUR23.9 m in cash and stock.
neutral,"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style ."
negative,"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 ."
positive,"The previously concluded adaptation measures concerning the other personnel are adequate for the time being , Raute said ."
positive,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products ."
neutral,Elisa has commissioned Finland 's Poyry Telecom Oy to conduct a study of reception in some of Estonia 's largest cities besides Tallinn .
neutral,The German subsidiary will produce software development services for Ixonos Telecommunications Business Unit 's client projects .
neutral,"INTERNET BUSINESS NEWS - -_ 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers ."
positive,"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia ."
neutral,The StoneGate product is centrally manageable and suited for both physical and virtual environments .
neutral,"Finnish metal components supplier Componenta on December 26 , 2006 applied for approval with the Turkish Capital Markets Board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer Doktas Dokumculuk ."
positive,"`` P&O Ferries now has a very efficient and powerful vessel for its Dover to Calais route , '' head of the shipbuilder 's Rauma yard , Timo Suistio , said ."
neutral,The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .
neutral,Following the increase the company+EUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .
negative,"Lakshmi Mittal, the Chief Executive Officer of ArcelorMittal, has already scaled back the production of certain furnaces."
neutral,"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays ."
neutral,Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .
negative,"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn ."
negative,The sales of mid-strength beer decreased by 40%.
neutral,Aspo serves demanding business-to-business customers .
positive,"In addition , Lehdentekijat Oy will start producing a new membership magazine , Viisas Raha ( Wise Money ) for the Association ."
negative,F-Secure highlights the logical weakness in the sequenced numbers of a card approach that has been utilized before.
positive,The shopping center will be situated in close proximity to the Myllypuro metro station.
positive,"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time ."
negative,"The quarter's revenue dropped by 8 percent to EURO 2.4 billion, compared to the previous year."
negative,"In the first quarter of 2009, Finnish Scanfil, a systems supplier and contract manufacturer to the communications sector and electronics industry, reported net sales of EUR 49.6 mn, which was only slightly lower than the corresponding period in 2008."
negative,"Today, on 18 March 2010, a gypsum pond leak was detected at the Talvivaara mine."
positive,Paper maker Stora Enso Oyj said Friday it has been acquitted of charges that it participated in a paper price-fixing conspiracy in the United States .
neutral,The new units should become one of the largest ones within the company .
neutral,Scandic Feed will also diversify Tosno 's product portfolio further .
neutral,"The group also plans to launch the 270 room Atria Grand , Whitefield , a five star luxury hotel , in 2009 ."
neutral,"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines ."
neutral,CapMan made its initial investment in OneMed in June 2006 .
neutral,Underground parking facilities will also be built on the basement floor .
negative,The acquisition of Tikkurila shares by Solidium in March 2010 will lead to a loss of EUR5m in capital due to the sale.
negative,Orion's net profit for the third quarter of 2007 dropped to 36.5 mln euro ( $ 52.1 mln) from the previous year's 40.3 mln euro ( $ 57.5 mln).
negative,"The period's net sales are expected to be significantly lower than those of the previous year, and the result after non-recurring items is expected to be in the red."
negative,"Operating profit for the six-month period decreased from EUR21m , while net sales increased from EUR436 .9 m , as compared to the corresponding period in 2007 ."
neutral,"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds ."
negative,The first half of 2007 saw a decrease in earnings per share (EPS) from EUR0.40 a year ago.
positive,"The operating profit and net sales both grew in the nine-month period, increasing from EUR3 m in the previous year and EUR6 m in the previous year, respectively."
negative,"Tamglass Finton's personnel negotiations, which will involve its entire staff of 33 employees, will be initiated as part of the reorganisation measures set for the spring 2006."
positive,"The optimization of working hours can be optimized through investments and operational changes, leading to cost savings of approximately 7 % to 9 %."
positive,"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market ."
positive,"Sales are expected to increase in the end of the year 2006 , however ."
positive,"According to Lindsey Liddell, director of Fitch Ratings' Financial Institutions Group, the acquisition of Sampo Bank is a strategic move towards DB's benefit."
positive,"The Helsinki CAP portfolio index rose by 0.91 pct to 4,711.19, and the OMX Helsinki 25 index rose by 0.92 pct to 2,518.67."
neutral,"Tiimari 's registered share capital is 16,474,755 shares as per today ."
neutral,"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use ."
positive,"After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights ."
negative,The maritime administration reported that the ships had ignored alerts about the frigid conditions.
positive,Return on investment was 16.6 % compared to 15.8 % in 2004 .
positive,SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .
positive,"Finland 's leading metals group Outokumpu said its fourth-quarter net profit more than tripled on the back of strong global demand for stainless steel , soaring base metal prices and proceeds from the sale of its technology unit ."
neutral,26 January 2011 - Finnish software solutions provider Basware ( HEL : BAS1V ) said yesterday it adjusted its strategy and goals for the next four years with focus on international growth mainly via acquisitions .
neutral,The tower 's engineers have created an 18 degree westward lean - four times the inclination on the Leaning Tower of Pisa - using diagrid structures that are aligned geometrically using Tekla Structures BIM ( Building Information Modeling ) software .
neutral,`` The sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments .
neutral,"`` In Ukraine , too , we act as a partner for major bakery clients in both production and product development ."
negative,The operating profit of Finnish Bank of +land decreased from EUR 5.6 mn in 2006 to EUR 4.9 mn in the third quarter of 2007.
positive,Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .
positive,"Media companies find compelling reasons to use tablets, as they offer a new source of income."
negative,"The EPS dropped to EUR0 .2, which is a significant reduction from EUR0 .3."
neutral,Metso Paper 's delivery will comprise an Advantage DCT 200 tissue machine including quality control and distributed control systems ( QCS-DCS ) .
positive,Espoon kaupunki awarded contracts for personal care products .
negative,A reduction in consumption will result in losses as production levels have been agreed upon with producers for a long time.
neutral,"Stockholm , 3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions ."
neutral,"ALEXANDRIA , Va. , March 20 -- Patrik Flykt and Timo Alakoski , both of Helsinki , Finland , and Tapio Suihko and Nadarajah Asokan , both of Espoo , Finland , have developed a method of mobility support of Internet-type protocol traffic in a communication system ."
negative,Prices and delivery volumes of broadband products decreased significantly in 2005 .
positive,"Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference ."
positive,"New machines are available, but they are not abundant, and new orders result in work being added."
neutral,The options might include a partial or total divestment of their shareholdings in Ovako .
positive,"Juergen Walter, Head of Converged Core , Nokia Siemens Networks, announced the collaboration with Fujitsu and NTT DoCoMo to further develop LTE."
positive,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 ."
neutral,"Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY ."
negative,"Personnel negotiations for temporary lay-offs and personnel reductions at Metso Foundries Jyvaskyla , Inc. in Jyvaskyla, Finland will be initiated."
negative,Also construction expenses have gone up in Russia .
neutral,"He does not believe , however , that HKScan or Atria will start to use imported meat as Finnish consumers prefer domestic products ."
negative,"The net profit experienced a significant decline, dropping to +â 5.5 million from the previous year's net profit of +â 9.4 million."
negative,Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .
negative,"Moreover, an additional 29 employees can be dismissed until further notice, and the entire staff can be dismissed for brief periods if necessary."
neutral,"For the purposes of the possible acquisition , PKC would establish a subsidiary in Poland ."
negative,"By 1411 CET, ArcelorMittal had experienced a decline of 7.26 percent, resulting in a loss of EUR 17.38 on Euronext Paris, which was a significant loss for blue-chip fallers."
neutral,The solution will be installed in the USA to support the North American operations of the customer .
negative,"Orion Corp, a pharmaceutical company, experienced a decline in third-quarter earnings, which was driven by increased R&D and marketing expenses."
positive,It will also strengthen Ruukki 's offshore business .
negative,"The pretax profit in theconsolidated period experienced a 69.2 % decline, amounting to EUR 41.0 mn, compared to EUR 133.1 mn in 2007."
negative,The Swedish banks' shares have been hit the hardest by the ongoing international financial crisis.
negative,A 6 percent drop in exports resulted in a 16.4 million liter drop.
neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver ."
neutral,"The maximum grade of the veneer yield is calculated , based on the dimensions and grades of the veneer products , as well as by iterating the places of the peeling axes and simulating the peeling process ."
negative,"Kyro's primary business, Glaston Technologies, a maker of glass processing machines, experienced a decline in net sales from EUR 164.1 mn to EUR 161.5 mn in January-September 2005."
negative,Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .
positive,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier ."
negative,"The first quarter of 2008 saw Stora Enso Oyj, a Finnish forest industry group, issue a profit warning on Thursday, 20 March."
positive,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .
negative,"Glaston Oyj Abp, a glass technology company from Finland, experienced a decline in net profit during the first nine months of 2007, dropping to 2.6 mln euro ( $ 3.8 mln) from the previous year's 7.8 mln euro ( $"
neutral,"As a result , a total of 82 employees would be given notice ."
positive,Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .
neutral,No changes regarding the Virala Oy Ab s ownership of shares of Tiimari has taken place .
positive,Also Lemmink+Æinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .
neutral,Finnish food industry company L+Ænnen Tehtaat is planning changes to its fish product business .
positive,Olvi predicts that sales and market share will increase in the first quarter of 2010.
positive,"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years ."
negative,"The Finnish brewery Olvi, Ragutis, had a 11.2 percent drop in sales during the seven-month period, reaching 15.41 million liters, and it held 9.89 percent of the market."
negative,"The pre-tax figure dropped to almost EUR 14.5 mn, compared to almost EUR 20mn in the previous accounting period."
negative,"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland ."
neutral,"The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , developing all types of premium residential and commercial projects for sale and investment ."
neutral,"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) ."
neutral,The per-share subscription price of the shares subscribed with the option rights was EUR 1.35 .
positive,"` Ruukki has experience of logistics construction , competence in project management and also has the best references in terms of steel frame production and installation , ' says Onodi Stefan , General Manager of Arxikon Construction Company SRL , which is Ruukki 's customer ."
positive,"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years ."
positive,CDLI highlights the companies that provided the most comprehensive response to the Carbon Disclosure Project CDP information request .
neutral,"At some point , it will spread also to Iran and Iraq ."
neutral,"Blyk is launching first in the UK market in mid-2007 , with other markets to follow ."
neutral,"This order , when delivered , will bring the total output of electricity in Italy generated by Wartsila equipment to more than 1,300 MW ."
negative,"The market share of Coca-Cola was the highest among manufacturers, at 36.9%, reflecting a decrease of 2.2 % from the previous year."
neutral,The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations .
negative,- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .
neutral,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added ."
positive,The company anticipates a 5-10% increase in net sales in 2008 compared to 2007.
neutral,"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze ."
positive,"Suominen Corporation, a Finnish fiber and plastic product manufacturer, reported a decline in net loss to 1.6 million euros $ 2.0 million in the first nine months of 2006, from 2.16 million euro $ 2.7 million in 2005."
neutral,"Telecom has a foreign investment limit of 74 % , but it appears that mobile VAS does not , which means that Tecnomen can pick up as much as 96.6 % ."
positive,"Benefon , a wireless and GPS technology company , will supply Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service ."
neutral,Results are expected late in 2006 .
neutral,"So Mr. Galvan made savings adjustments of his own , buying less liquor and watching portion sizes ."
neutral,"Sonoco Products Co. , a U.S. packaging company , said Friday it bought the 75 percent of Italy 's Demolli Industria Cartaria SpA it did not already own ."
negative,"The OMX Helsinki index dropped to 9,364.80, a 0.33 pct drop, and the OMX Helsinki CAP portfolio index dropped to 5,029.25, a 0.34 pct drop."
positive,"Uwe Bakosch explains that the integration of all services has enabled us to offer a strengthened and intricate service chain beyond just the Baltic ports, as well as the Grimaldi Network, which provides access to the Mediterranean, Africa, and North America."
negative,"In the first quarter of 2009, Finnish Scanfil, a systems supplier and contract manufacturer to the communications sector and electronics industry, reported net sales of EUR 49.6 mn, which was only one percent lower than the corresponding period in 2008."
neutral,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .
negative,"TietoEnator, an IT services firm, reversed its recent gains and maintained a flat 22.70 eur price, bucking the overall trend."
positive,"Orion's net sales increased by EUR 190mn in the first quarter of 2009, up from EUR 180mn in the same period in 2008."
negative,"As a result, the company's performance in 2005 will be less than its 2004 performance."
negative,"TietoEnator, an IT services firm, reversed its recent gains and maintained a flat 22.70 eur price, reversing the trend."
positive,"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy ."
positive,The Commission's utilization of a fact-based and data-driven approach and their provision of clarity for future petitions deserve recognition.
neutral,"The mill will have capacity to produce 500,000 tonnes of pulp per year ."
neutral,"PCS Digital Guatemala has been using Tecnomen 's prepaid system in Telgua fixed networks as well as code division multiple access , or CDMA , and global system for mobile communication , or GSM , since 2003 ."
positive,EBIT excluding non-recurring items was estimated to increase from 2009 .
negative,"Finland experienced a 2.0 % decline in sales, while international sales fell by 9.3 % in euros and 15.1 % in local currencies."
negative,"The company plans to close two of the three lines at the plant , where some 450 jobs are under threat ."
positive,"The Nokian tyre's exceptional safety features, such as stability, handling, and wet road braking, make it a reliable choice for drivers with a mark of 1.4, 1.5, and 1.9."
neutral,Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .
negative,Certain services on Viking Line have been canceled.
positive,"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 ."
positive,"October-December sales were 302 mln eur , or a 25.3 pct increase year on year ."
positive,The Swiss franc experienced a surge to 1.42 euros after a significant increase in manufacturing in March.
negative,The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .
neutral,This organization will assume the responsibility for operations in Russia .
neutral,"Finnish IT consultancy Satama Interactive Oyj said on November 13 , 2006 that Jarmo Lonnfors took up the position of CEO ."
negative,"Tieto Oyj, an IT consultancy based in Finland, announced on October 21, 2009, that its net profit for the first nine months of 2009 had decreased to EUR 29.4 million (USD 43.9 million) from EUR 58.7 million for the same period."
neutral,It was decided that the auditors are reimbursed according to invoice .
negative,"Sales in the food sector reached EUR320.1 m, indicating a 1.1 % decrease."
positive,It estimates the operating profit to further improve from the third quarter .
neutral,"According to latest information , Benefon will launch its Twig device on 20 September 2006 ."
neutral,"Huhtamaki 's rigid plastic consumer goods operations , which are mainly in Europe , will be separated into a new reporting segment as of 1 January 2009 ."
negative,Finnish media group Talentum has issued a profit warning .
neutral,The company expects sales revenue of RMB8 .0 billion in 2009 .
neutral,"The study was not designed to enable formal statistical evaluation of therapeutic activity , the company said ."
positive,"EUR 6.8 million was the net income from life insurance, which doubled from EUR 3.2 million in the same period in 2009, while EUR 1.5 million was the net income from non-life insurance, which rose from EUR 1.5 million to EUR 5.2 million."
neutral,It also recovers valuable raw material for Kemira 's water chemical production .
negative,"The airline estimated that the closure of European airspace and the process of rerouting traffic led to the cancellation of flights, which resulted in a loss of EUR20m, including the expenses incurred by stranded passengers."
positive,"Excluding non-recurring items, EBIT was forecasted to increase from 2009."
neutral,"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces ."
negative,"Nokia's share price in Helsinki fell by less than one percent to 18.70 euros ( $ 25.41), while Siemens' share price in Frankfurt fell by 1.02 percent to 90.19 euros ( $ 122.57)."
negative,"EUR 5.9 million in 2004 was the operating profit in 2005, which was EUR 1.6 million more than EUR 1.6 million in 2005."
negative,The decline in demand for technical design and product information leads to the implementation of measures.
neutral,"The method utilises waterborne Ultra products , giving protection to wooden surfaces in an industrial painting process whereby two layers of top coat are applied on exterior wooden panels and boards without a separate primer ."
neutral,( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . )
negative,"The loss per share was EUR0,24."
positive,"In 2007, Marimekko launched concept stores in Yokohama and Nagoya in central Japan, Silver Spring in metropolitan Washington DC, USA, Graz in central Austria, and Aalborg in northern Denmark."
negative,EUR 13.8 mn was the operating profit during the same period as EUR 17.1 mn in 2005.
negative,"YIT, the Finnish construction company, is reducing the number of market-funded residential unit start-ups to around 2,300 in 2007, as per their announcement."
neutral,"Mercator will use the software for its logistic , retail and wholesale operations in Slovenia and its other markets in southeastern Europe ."
neutral,Finnish fibre-based materials maker Ahlstrom Corp ( HEL : AHL1V ) said today it decided to close down its spunlace composite production line number 23 at Chirnside plant in the UK by the end of March 2011 .
positive,"Forestries were also higher , driven by yesterday 's bullish analyst comment on Stora Enso in Dagens Industri , dealers said ."
positive,Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .
negative,Okmetic anticipates a decrease in net sales during the first half of 2009 compared to 2008.
neutral,"The company is owned by the State of Finland and the European Aeronautic Defense and Space Company EADS N.V. Tekla is an international software company that provides solutions for building and construction , energy distribution and municipalities ."
negative,"On Monday, Zoltan Krippl, the communications director for Elcoteq's local unit, informed MTI that 700 employees will be laid off from their plants in Pecs S Hungary at the end of September due to falling orders."
negative,"The FTSE 100's broader weakness was not offset by a rebound in bank stocks, resulting in a drop in London share prices on Monday."
neutral,Rimi supermarket is the key customer in Magistral center .
negative,The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009 .
neutral,"In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum ."
negative,"The Bank's CDS levels in the market are significantly lower than the terms of the aforementioned funding, which has a maturity ranging from 1 to 7.5 years."
negative,"Nike's seven sports store franchises in Russia have been shut down by the Stockmann Group, a Finnish company."
positive,The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .
neutral,Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .
negative,"Finnlines, a Finnish shipping company, recorded a pretax loss of EUR 6.5 mn in the third quarter of 2009, which was a significant increase from the profit of EUR 0.3 mn made in the third quarter of 2008."
negative,"However , the suspect stole his burgundy Nissan Altima ."
neutral,There did not seem to be enough hours in a day for Pekkarinen .
negative,Most of the layoffs will be in Finland .
positive,In addition the deal includes a call option which will enable Maritim Food AS to increase its holding in Sandanger AS to 51 % in the future .
neutral,"So far the company has awarded more than $ 350,000 worth of tools and materials ."
positive,"In May, Campbell Morgan, a Merrill Lynch analyst, changed his opinion on PaperlinX from a neutral option to a buy."
